,Call Id,Agent,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,DateTime
84,ID0085,Becky,Technical Support,1,1,106.0,00:04:22,5.0,2021-01-02 12:41:46
85,ID0086,Martha,Technical Support,1,1,32.0,00:04:36,3.0,2021-01-02 12:41:46
86,ID0087,Jim,Payment related,0,0,,,,2021-01-02 12:44:38
87,ID0088,Martha,Admin Support,1,0,45.0,00:01:26,4.0,2021-01-02 12:44:38
88,ID0089,Joe,Technical Support,1,1,119.0,00:03:32,4.0,2021-01-02 12:59:02
89,ID0090,Dan,Streaming,0,0,,,,2021-01-02 12:59:02
90,ID0091,Jim,Contract related,1,1,46.0,00:05:41,1.0,2021-01-02 13:03:22
91,ID0092,Stewart,Technical Support,1,1,101.0,00:01:28,3.0,2021-01-02 13:03:22
92,ID0093,Jim,Technical Support,1,1,56.0,00:02:52,3.0,2021-01-02 13:04:48
93,ID0094,Becky,Technical Support,1,1,80.0,00:00:53,3.0,2021-01-02 13:04:48
94,ID0095,Diane,Streaming,1,1,24.0,00:01:36,3.0,2021-01-02 13:13:26
95,ID0096,Stewart,Payment related,1,1,113.0,00:03:54,2.0,2021-01-02 13:13:26
96,ID0097,Greg,Contract related,1,1,19.0,00:02:03,4.0,2021-01-02 13:20:38
97,ID0098,Martha,Streaming,0,0,,,,2021-01-02 13:20:38
98,ID0099,Dan,Contract related,1,1,45.0,00:06:37,3.0,2021-01-02 13:20:38
99,ID0100,Diane,Technical Support,1,1,95.0,00:05:11,1.0,2021-01-02 13:20:38
100,ID0101,Becky,Technical Support,0,0,,,,2021-01-02 13:45:07
101,ID0102,Martha,Technical Support,1,0,79.0,00:05:31,1.0,2021-01-02 13:45:07
102,ID0103,Diane,Payment related,1,1,22.0,00:03:56,2.0,2021-01-02 13:49:26
103,ID0104,Martha,Contract related,1,1,38.0,00:06:36,1.0,2021-01-02 13:49:26
104,ID0105,Becky,Technical Support,1,1,112.0,00:03:25,5.0,2021-01-02 13:53:46
105,ID0106,Becky,Payment related,1,1,65.0,00:04:57,3.0,2021-01-02 13:53:46
106,ID0107,Joe,Streaming,0,0,,,,2021-01-02 14:22:34
107,ID0108,Becky,Contract related,1,0,55.0,00:02:32,1.0,2021-01-02 14:22:34
108,ID0109,Stewart,Admin Support,0,0,,,,2021-01-02 14:52:48
109,ID0110,Joe,Streaming,1,1,19.0,00:02:38,2.0,2021-01-02 14:52:48
110,ID0111,Becky,Technical Support,1,1,53.0,00:00:56,3.0,2021-01-02 15:10:05
111,ID0112,Diane,Technical Support,1,1,24.0,00:06:06,5.0,2021-01-02 15:10:05
112,ID0113,Martha,Streaming,1,1,73.0,00:06:01,3.0,2021-01-02 15:36:00
113,ID0114,Stewart,Technical Support,0,0,,,,2021-01-02 15:36:00
114,ID0115,Jim,Technical Support,1,1,55.0,00:05:47,5.0,2021-01-02 17:36:58
115,ID0116,Greg,Payment related,0,0,,,,2021-01-02 17:36:58
116,ID0117,Diane,Streaming,0,0,,,,2021-01-02 17:47:02
117,ID0118,Martha,Streaming,1,1,23.0,00:05:18,4.0,2021-01-02 17:47:02
118,ID0119,Dan,Payment related,1,0,124.0,00:02:23,5.0,2021-01-03 09:10:05
119,ID0120,Dan,Contract related,0,0,,,,2021-01-03 09:10:05
120,ID0121,Dan,Technical Support,1,1,103.0,00:01:01,4.0,2021-01-03 09:47:31
121,ID0122,Martha,Contract related,1,1,69.0,00:03:45,4.0,2021-01-03 09:47:31
122,ID0123,Joe,Streaming,1,1,78.0,00:01:12,3.0,2021-01-03 10:29:17
123,ID0124,Martha,Technical Support,1,1,78.0,00:03:26,5.0,2021-01-03 10:29:17
124,ID0125,Martha,Technical Support,0,0,,,,2021-01-03 10:37:55
125,ID0126,Diane,Payment related,1,1,44.0,00:05:38,4.0,2021-01-03 10:37:55
126,ID0127,Martha,Admin Support,1,1,35.0,00:02:46,4.0,2021-01-03 10:52:19
127,ID0128,Becky,Admin Support,1,1,102.0,00:05:26,4.0,2021-01-03 10:52:19
128,ID0129,Jim,Contract related,1,1,99.0,00:05:51,3.0,2021-01-03 10:52:19
129,ID0130,Jim,Admin Support,1,1,29.0,00:04:09,3.0,2021-01-03 10:52:19
130,ID0131,Becky,Admin Support,1,0,42.0,00:00:59,5.0,2021-01-03 10:58:05
131,ID0132,Diane,Payment related,1,1,113.0,00:05:40,4.0,2021-01-03 10:58:05
132,ID0133,Dan,Admin Support,1,1,124.0,00:00:53,2.0,2021-01-03 11:02:24
133,ID0134,Jim,Technical Support,0,0,,,,2021-01-03 11:02:24
134,ID0135,Dan,Payment related,1,1,55.0,00:02:13,1.0,2021-01-03 11:03:50
135,ID0136,Greg,Technical Support,1,0,105.0,00:05:59,3.0,2021-01-03 11:03:50
136,ID0137,Stewart,Contract related,1,0,112.0,00:03:12,5.0,2021-01-03 11:06:43
137,ID0138,Martha,Contract related,0,0,,,,2021-01-03 11:06:43
138,ID0139,Becky,Technical Support,1,1,43.0,00:06:20,5.0,2021-01-03 11:16:48
139,ID0140,Joe,Payment related,1,1,20.0,00:01:44,3.0,2021-01-03 11:16:48
140,ID0141,Greg,Technical Support,1,1,84.0,00:01:43,5.0,2021-01-03 11:26:53
141,ID0142,Jim,Contract related,1,1,20.0,00:02:44,4.0,2021-01-03 11:26:53
142,ID0143,Greg,Streaming,1,1,101.0,00:02:16,3.0,2021-01-03 11:38:24
143,ID0144,Diane,Technical Support,1,1,31.0,00:02:55,5.0,2021-01-03 11:38:24
144,ID0145,Jim,Contract related,1,1,56.0,00:04:09,5.0,2021-01-03 11:52:48
145,ID0146,Joe,Contract related,0,0,,,,2021-01-03 11:52:48
146,ID0147,Joe,Payment related,1,1,77.0,00:01:27,5.0,2021-01-03 11:55:41
147,ID0148,Jim,Payment related,1,1,46.0,00:00:50,4.0,2021-01-03 11:55:41
148,ID0149,Stewart,Admin Support,1,1,88.0,00:04:26,3.0,2021-01-03 11:58:34
149,ID0150,Diane,Payment related,1,1,88.0,00:00:58,1.0,2021-01-03 11:58:34
150,ID0151,Joe,Technical Support,1,1,124.0,00:06:03,1.0,2021-01-03 12:33:07
151,ID0152,Stewart,Contract related,0,0,,,,2021-01-03 12:33:07
152,ID0153,Martha,Payment related,1,0,52.0,00:06:59,4.0,2021-01-03 12:54:43
153,ID0154,Joe,Admin Support,1,1,67.0,00:06:10,5.0,2021-01-03 12:54:43
154,ID0155,Martha,Payment related,1,1,119.0,00:04:16,3.0,2021-01-03 13:12:00
155,ID0156,Dan,Admin Support,1,1,98.0,00:04:37,2.0,2021-01-03 13:12:00
156,ID0157,Jim,Technical Support,0,0,,,,2021-01-03 13:14:53
157,ID0158,Joe,Technical Support,1,1,118.0,00:04:18,3.0,2021-01-03 13:14:53
158,ID0159,Becky,Admin Support,1,1,123.0,00:01:15,3.0,2021-01-03 13:27:50
159,ID0160,Becky,Streaming,1,0,86.0,00:05:37,1.0,2021-01-03 13:27:50
160,ID0161,Greg,Admin Support,1,1,104.0,00:02:09,3.0,2021-01-03 13:35:02
161,ID0162,Greg,Payment related,1,1,69.0,00:01:33,2.0,2021-01-03 13:35:02
162,ID0163,Dan,Contract related,1,1,113.0,00:02:38,1.0,2021-01-03 13:58:05
163,ID0164,Joe,Streaming,1,1,88.0,00:03:23,5.0,2021-01-03 13:58:05
164,ID0165,Joe,Streaming,0,0,,,,2021-01-03 13:58:05
165,ID0166,Stewart,Payment related,0,0,,,,2021-01-03 13:58:05
166,ID0167,Joe,Payment related,1,1,84.0,00:00:58,2.0,2021-01-03 14:03:50
167,ID0168,Diane,Streaming,1,1,113.0,00:01:22,3.0,2021-01-03 14:03:50
168,ID0169,Joe,Streaming,1,1,38.0,00:05:31,4.0,2021-01-03 14:47:02
169,ID0170,Dan,Streaming,1,1,14.0,00:06:14,4.0,2021-01-03 14:47:02
170,ID0171,Martha,Streaming,1,0,25.0,00:05:32,4.0,2021-01-03 15:34:34
171,ID0172,Dan,Contract related,0,0,,,,2021-01-03 15:34:34
172,ID0173,Diane,Technical Support,0,0,,,,2021-01-03 16:29:17
173,ID0174,Joe,Payment related,1,1,117.0,00:02:07,4.0,2021-01-03 16:29:17
174,ID0175,Stewart,Payment related,1,0,57.0,00:06:01,2.0,2021-01-03 17:31:12
175,ID0176,Martha,Technical Support,1,1,119.0,00:05:19,5.0,2021-01-03 17:31:12
176,ID0177,Martha,Contract related,0,0,,,,2021-01-04 09:01:26
177,ID0178,Diane,Streaming,1,1,93.0,00:06:32,5.0,2021-01-04 09:01:26
178,ID0179,Martha,Payment related,1,1,86.0,00:01:04,4.0,2021-01-04 09:31:41
179,ID0180,Joe,Streaming,0,0,,,,2021-01-04 09:31:41
180,ID0181,Dan,Contract related,1,1,92.0,00:02:59,3.0,2021-01-04 09:43:12
181,ID0182,Greg,Streaming,0,0,,,,2021-01-04 09:43:12
182,ID0183,Martha,Technical Support,1,1,106.0,00:05:42,3.0,2021-01-04 10:03:22
183,ID0184,Stewart,Technical Support,1,1,67.0,00:02:44,3.0,2021-01-04 10:03:22
184,ID0185,Jim,Streaming,1,1,90.0,00:04:17,3.0,2021-01-04 10:27:50
185,ID0186,Diane,Technical Support,0,0,,,,2021-01-04 10:27:50
186,ID0187,Becky,Streaming,1,0,50.0,00:03:49,4.0,2021-01-04 11:09:36
187,ID0188,Diane,Admin Support,1,0,89.0,00:04:16,3.0,2021-01-04 11:09:36
188,ID0189,Jim,Admin Support,1,1,74.0,00:06:18,3.0,2021-01-04 11:13:55
189,ID0190,Martha,Payment related,1,1,63.0,00:02:22,2.0,2021-01-04 11:13:55
190,ID0191,Becky,Contract related,1,1,45.0,00:06:31,5.0,2021-01-04 11:18:14
191,ID0192,Martha,Technical Support,0,0,,,,2021-01-04 11:18:14
192,ID0193,Dan,Payment related,1,1,31.0,00:06:43,2.0,2021-01-04 11:22:34
193,ID0194,Joe,Streaming,0,0,,,,2021-01-04 11:22:34
194,ID0195,Joe,Contract related,1,1,43.0,00:03:44,5.0,2021-01-04 11:32:38
195,ID0196,Martha,Streaming,1,1,50.0,00:05:42,4.0,2021-01-04 11:32:38
196,ID0197,Dan,Technical Support,1,1,48.0,00:05:12,4.0,2021-01-04 12:02:53
197,ID0198,Martha,Admin Support,1,1,113.0,00:02:44,5.0,2021-01-04 12:02:53
198,ID0199,Jim,Streaming,0,0,,,,2021-01-04 12:15:50
199,ID0200,Joe,Technical Support,1,1,103.0,00:06:40,5.0,2021-01-04 12:15:50
200,ID0201,Becky,Technical Support,1,0,95.0,00:04:27,3.0,2021-01-04 12:15:50
201,ID0202,Joe,Admin Support,1,1,30.0,00:05:04,1.0,2021-01-04 12:15:50
202,ID0203,Greg,Admin Support,1,1,124.0,00:03:19,3.0,2021-01-04 13:32:10
203,ID0204,Diane,Admin Support,1,1,17.0,00:02:03,5.0,2021-01-04 13:32:10
204,ID0205,Stewart,Streaming,1,1,113.0,00:06:00,3.0,2021-01-04 13:45:07
205,ID0206,Jim,Technical Support,1,1,25.0,00:02:27,5.0,2021-01-04 13:45:07
206,ID0207,Jim,Admin Support,1,1,52.0,00:04:22,5.0,2021-01-04 13:56:38
207,ID0208,Dan,Admin Support,1,1,28.0,00:02:44,5.0,2021-01-04 13:56:38
208,ID0209,Greg,Technical Support,1,1,69.0,00:03:05,3.0,2021-01-04 14:25:26
209,ID0210,Martha,Streaming,1,1,106.0,00:03:52,3.0,2021-01-04 14:25:26
210,ID0211,Jim,Technical Support,0,0,,,,2021-01-04 14:28:19
211,ID0212,Joe,Payment related,1,1,26.0,00:04:59,3.0,2021-01-04 14:28:19
212,ID0213,Joe,Payment related,1,1,53.0,00:05:55,4.0,2021-01-04 14:31:12
213,ID0214,Martha,Technical Support,1,1,77.0,00:04:10,2.0,2021-01-04 14:31:12
214,ID0215,Jim,Contract related,1,1,45.0,00:03:02,3.0,2021-01-04 14:49:55
215,ID0216,Becky,Technical Support,0,0,,,,2021-01-04 14:49:55
216,ID0217,Greg,Streaming,1,1,56.0,00:04:16,4.0,2021-01-04 15:23:02
217,ID0218,Stewart,Admin Support,1,1,13.0,00:03:56,2.0,2021-01-04 15:23:02
218,ID0219,Stewart,Admin Support,1,1,120.0,00:06:50,5.0,2021-01-04 15:48:58
219,ID0220,Diane,Payment related,1,1,22.0,00:00:50,1.0,2021-01-04 15:48:58
220,ID0221,Martha,Payment related,1,1,81.0,00:03:21,4.0,2021-01-04 16:48:00
221,ID0222,Jim,Streaming,0,0,,,,2021-01-04 16:48:00
222,ID0223,Martha,Contract related,1,1,71.0,00:00:48,2.0,2021-01-04 16:49:26
223,ID0224,Stewart,Payment related,1,1,75.0,00:01:33,4.0,2021-01-04 16:49:26
224,ID0225,Martha,Technical Support,1,1,77.0,00:02:42,4.0,2021-01-04 16:49:26
225,ID0226,Joe,Streaming,1,1,88.0,00:06:27,4.0,2021-01-04 16:49:26
226,ID0227,Stewart,Admin Support,1,1,82.0,00:03:05,2.0,2021-01-04 17:35:31
227,ID0228,Jim,Technical Support,1,1,110.0,00:06:30,3.0,2021-01-04 17:35:31
228,ID0229,Martha,Admin Support,1,0,70.0,00:01:32,3.0,2021-01-04 17:39:50
229,ID0230,Becky,Admin Support,1,1,117.0,00:03:40,3.0,2021-01-04 17:39:50
230,ID0231,Joe,Streaming,1,1,18.0,00:00:50,3.0,2021-01-05 09:08:38
231,ID0232,Joe,Streaming,1,1,113.0,00:02:36,4.0,2021-01-05 09:08:38
232,ID0233,Stewart,Contract related,1,0,68.0,00:03:29,5.0,2021-01-05 09:25:55
233,ID0234,Greg,Payment related,1,1,67.0,00:04:14,5.0,2021-01-05 09:25:55
234,ID0235,Joe,Technical Support,1,1,36.0,00:01:07,5.0,2021-01-05 09:33:07
235,ID0236,Stewart,Streaming,0,0,,,,2021-01-05 09:33:07
236,ID0237,Becky,Technical Support,1,1,33.0,00:02:30,1.0,2021-01-05 10:00:29
237,ID0238,Dan,Contract related,1,1,113.0,00:01:59,5.0,2021-01-05 10:00:29
238,ID0239,Greg,Contract related,1,1,106.0,00:06:19,3.0,2021-01-05 10:49:26
239,ID0240,Joe,Streaming,1,1,23.0,00:04:59,3.0,2021-01-05 10:49:26
240,ID0241,Joe,Streaming,0,0,,,,2021-01-05 11:31:12
241,ID0242,Greg,Payment related,1,1,11.0,00:04:42,1.0,2021-01-05 11:31:12
242,ID0243,Greg,Contract related,1,1,73.0,00:04:45,5.0,2021-01-05 11:41:17
243,ID0244,Dan,Admin Support,1,1,109.0,00:04:49,5.0,2021-01-05 11:41:17
244,ID0245,Martha,Payment related,1,1,29.0,00:04:14,4.0,2021-01-05 11:49:55
245,ID0246,Dan,Streaming,0,0,,,,2021-01-05 11:49:55
246,ID0247,Becky,Admin Support,1,1,81.0,00:01:14,4.0,2021-01-05 11:49:55
247,ID0248,Greg,Contract related,1,1,59.0,00:03:52,1.0,2021-01-05 11:49:55
248,ID0249,Becky,Streaming,1,1,32.0,00:06:29,4.0,2021-01-05 12:00:00
249,ID0250,Martha,Admin Support,1,1,116.0,00:00:42,4.0,2021-01-05 12:00:00
250,ID0251,Diane,Payment related,1,1,92.0,00:01:55,5.0,2021-01-05 12:12:58
251,ID0252,Greg,Streaming,1,1,62.0,00:06:02,5.0,2021-01-05 12:12:58
252,ID0253,Joe,Payment related,1,1,83.0,00:01:53,5.0,2021-01-05 13:04:48
253,ID0254,Joe,Admin Support,1,1,71.0,00:02:31,3.0,2021-01-05 13:04:48
254,ID0255,Greg,Admin Support,1,0,74.0,00:04:32,3.0,2021-01-05 13:59:31
255,ID0256,Joe,Technical Support,1,1,96.0,00:05:46,4.0,2021-01-05 13:59:31
256,ID0257,Diane,Admin Support,1,1,110.0,00:01:41,1.0,2021-01-05 14:42:43
257,ID0258,Jim,Streaming,1,0,110.0,00:02:38,3.0,2021-01-05 14:42:43
258,ID0259,Dan,Technical Support,1,1,117.0,00:03:03,4.0,2021-01-05 15:18:43
259,ID0260,Becky,Admin Support,1,1,44.0,00:05:53,3.0,2021-01-05 15:18:43
260,ID0261,Diane,Contract related,1,1,47.0,00:06:02,4.0,2021-01-05 15:20:10
261,ID0262,Greg,Admin Support,1,1,97.0,00:01:16,3.0,2021-01-05 15:20:10
262,ID0263,Greg,Streaming,1,1,67.0,00:02:39,4.0,2021-01-05 15:31:41
263,ID0264,Diane,Streaming,1,1,72.0,00:06:48,3.0,2021-01-05 15:31:41
264,ID0265,Becky,Contract related,1,1,68.0,00:04:21,3.0,2021-01-05 15:31:41
265,ID0266,Joe,Payment related,1,1,98.0,00:06:22,5.0,2021-01-05 15:31:41
266,ID0267,Joe,Streaming,1,1,120.0,00:00:56,3.0,2021-01-05 15:37:26
267,ID0268,Dan,Payment related,1,1,13.0,00:02:33,1.0,2021-01-05 15:37:26
268,ID0269,Jim,Admin Support,1,1,95.0,00:01:47,5.0,2021-01-05 15:44:38
269,ID0270,Martha,Payment related,1,1,31.0,00:00:42,5.0,2021-01-05 15:44:38
270,ID0271,Dan,Streaming,1,1,113.0,00:06:22,3.0,2021-01-05 16:06:14
271,ID0272,Martha,Technical Support,1,1,116.0,00:04:40,3.0,2021-01-05 16:06:14
272,ID0273,Martha,Admin Support,1,0,94.0,00:05:29,5.0,2021-01-05 16:16:19
273,ID0274,Martha,Admin Support,1,0,51.0,00:04:42,4.0,2021-01-05 16:16:19
274,ID0275,Diane,Technical Support,1,1,60.0,00:04:07,4.0,2021-01-05 16:27:50
275,ID0276,Diane,Contract related,1,1,59.0,00:06:04,2.0,2021-01-05 16:27:50
276,ID0277,Stewart,Technical Support,0,0,,,,2021-01-05 17:25:26
277,ID0278,Greg,Payment related,0,0,,,,2021-01-05 17:25:26
278,ID0279,Joe,Technical Support,0,0,,,,2021-01-05 17:29:46
279,ID0280,Dan,Contract related,1,1,16.0,00:03:33,4.0,2021-01-05 17:29:46
280,ID0281,Diane,Technical Support,1,1,81.0,00:01:51,3.0,2021-01-05 17:38:24
281,ID0282,Joe,Streaming,1,1,65.0,00:06:46,1.0,2021-01-05 17:38:24
282,ID0283,Martha,Streaming,1,1,55.0,00:03:04,2.0,2021-01-05 17:44:10
283,ID0284,Martha,Technical Support,0,0,,,,2021-01-05 17:44:10
284,ID0285,Martha,Technical Support,1,1,31.0,00:02:25,4.0,2021-01-05 17:57:07
285,ID0286,Diane,Streaming,1,1,45.0,00:05:13,2.0,2021-01-05 17:57:07
286,ID0287,Greg,Technical Support,0,0,,,,2021-01-06 09:08:38
287,ID0288,Stewart,Payment related,1,1,43.0,00:02:09,5.0,2021-01-06 09:08:38
288,ID0289,Stewart,Technical Support,1,1,55.0,00:05:56,4.0,2021-01-06 10:06:14
289,ID0290,Stewart,Contract related,1,1,63.0,00:02:19,3.0,2021-01-06 10:06:14
290,ID0291,Joe,Payment related,0,0,,,,2021-01-06 10:07:41
291,ID0292,Jim,Contract related,1,1,122.0,00:05:52,1.0,2021-01-06 10:07:41
292,ID0293,Stewart,Contract related,1,1,71.0,00:02:39,4.0,2021-01-06 10:32:10
293,ID0294,Jim,Technical Support,1,1,54.0,00:04:57,4.0,2021-01-06 10:32:10
294,ID0295,Stewart,Streaming,1,1,74.0,00:03:22,4.0,2021-01-06 10:42:14
295,ID0296,Stewart,Admin Support,1,1,125.0,00:04:47,4.0,2021-01-06 10:42:14
296,ID0297,Dan,Payment related,1,1,110.0,00:03:43,3.0,2021-01-06 11:12:29
297,ID0298,Becky,Streaming,0,0,,,,2021-01-06 11:12:29
298,ID0299,Martha,Technical Support,1,1,74.0,00:01:31,5.0,2021-01-06 11:29:46
299,ID0300,Diane,Payment related,1,1,80.0,00:04:27,4.0,2021-01-06 11:29:46
300,ID0301,Dan,Payment related,0,0,,,,2021-01-06 11:38:24
301,ID0302,Joe,Contract related,1,1,110.0,00:03:54,2.0,2021-01-06 11:38:24
302,ID0303,Stewart,Payment related,1,1,26.0,00:03:08,3.0,2021-01-06 11:45:36
303,ID0304,Greg,Technical Support,0,0,,,,2021-01-06 11:45:36
